OBJECTID *,Shape *,FID_points,FID_points,osm_id,name,barrier,highway,ref,address,is_in,place,man_made,other_tags,lat,lon,FID_points_divided_MinimumBoundi1,FID_Dataset2SVISam_MinimumBoundi
1,点,1198,1127,4850193017,Contrast Colour Group, , , , , , , ,"addr:street=>""加拿分道 Carnarvon Road"",""office""=>""company""",22.29832,114.173472,1,1
2,点,1199,1128,4850193018,Glory Bakery, , , , , , , ,"addr:street=>""加拿分道 Carnarvon Road"",""name:en""=>""Mammy Pancake"",""shop""=>""bakery""",22.298328,114.17353,1,1
3,点,1202,1118,4850193008,Chuen Tak Pawn Shop, , , , , , , ,"addr:street=>""堪富利士道 Humphreys Avenue"",""shop""=>""pawnbroker""",22.298339,114.173376,1,1
4,点,1203,1092,4850137423,"Yes Watch Co., Ltd", , , , , , , ,"addr:street=>""加拿分道 Carnarvon Road"",""shop""=>""watches""",22.29834,114.17376,1,1
5,点,1204,1183,4850496929,Istanbul, , , , , , , ,"addr:street=>""赫德道 Hart Avenue"",""amenity""=>""fast_food""",22.29834,114.173853,1,1
6,点,1207,1119,4850193009,大班面包西饼 Taipan Bread & Cakes, , , , , , , ,"addr:street=>""堪富利士道 Humphreys Avenue"",""brand""=>""大班面包西饼 Taipan Bread & Cakes"",""brand:en""=>""Taipan Bread & Cakes"",""brand:wikidata""=>""Q10936779"",""brand:zh""=>""大班面包西饼"",""name:en""=>""Taipan Bread & Cakes"",""name:zh""=>""大班面",22.298348,114.173402,1,1
7,点,1208,1085,4850136916,中国建设银行（亚洲） CCB (Asia), , , , , , , ,"addr:street=>""堪富利士道 Humphreys Avenue"",""branch""=>""Asia"",""brand""=>""中国建设银行 China Construction Bank"",""brand:en""=>""China Construction Bank"",""brand:wikidata""=>""Q26299"",""brand:wikipedia""=>""zh:中国建设银行"",""brand:zh""=>""中国建设",22.298349,114.172871,1,1
8,点,1210,819,4821660224,妈咪鸡蛋仔, , , , , , , ,"addr:housenumber=>""8∼12"",""addr:street""=>""加拿分道 Carnarvon Road"",""name:zh""=>""妈咪鸡蛋仔"",""opening_hours""=>""Mo-Su 11:30-21:00"",""shop""=>""confectionery""",22.298354,114.173551,1,1
9,点,1211,1182,4850496928,Lucky Dessert, , , , , , , ,"addr:street=>""赫德道 Hart Avenue"",""shop""=>""pastry""",22.298356,114.173821,1,1
10,点,1212,1120,4850193010,Colors in Optics, , , , , , , ,"addr:street=>""堪富利士道 Humphreys Avenue"",""shop""=>""optician""",22.298357,114.173435,1,1
11,点,1214,1280,4850676194,Wah Kee Snacks, , , , , , , ,"addr:street=>""宝勒巷 Prat Avenue"",""shop""=>""yes""",22.298361,114.174077,1,1
12,点,1215,329,2604588735, , , , , , , , ,"addr:housenumber=>""8A-8K"",""addr:street""=>""堪富利士道 Humphreys Avenue""",22.298361,114.173357,1,1
13,点,1216,1121,4850193011,Paul Jewellery Co., , , , , , , ,"addr:street=>""堪富利士道 Humphreys Avenue"",""shop""=>""jewelry""",22.298362,114.173471,1,1
14,点,1218,1125,4850193015,Kodell Fashions Love Light Tailors, , , , , , , ,"addr:street=>""堪富利士道 Humphreys Avenue"",""shop""=>""tailor""",22.298378,114.173509,1,1
15,点,1219,1086,4850136917,中国银行（香港） Bank of China (Hong Kong), , , , , , , ,"addr:street=>""堪富利士道 Humphreys Avenue"",""amenity""=>""bank"",""brand""=>""中国银行 Bank of China"",""brand:en""=>""Bank of China"",""brand:wikidata""=>""Q790068"",""brand:wikipedia""=>""en:Bank of China"",""brand:zh""=>""中国银行（香港）"",""brand:zh-Hans""",22.298379,114.172975,1,1
16,点,1220,1281,4850676195,OK便利店 Circle K, , , , , , , ,"addr:country=>""HK"",""addr:street""=>""宝勒巷 Prat Avenue"",""amenity""=>""fast_food"",""brand""=>""OK便利店 Circle K"",""brand:en""=>""Circle K"",""brand:wikidata""=>""Q3268010"",""brand:wikipedia""=>""zh:OK便利店"",""brand:zh""=>""OK便利店"",""brand:zh-Hans""=>""OK便",22.298383,114.174162,1,1
17,点,1221,1124,4850193014,The Eyewear Shop, , , , , , , ,"addr:street=>""堪富利士道 Humphreys Avenue"",""shop""=>""optician""",22.298392,114.173533,1,1
18,点,1222,1282,4850676196,Fusion Hair, , , , , , , ,"addr:street=>""宝勒巷 Prat Avenue"",""shop""=>""hairdresser""",22.298395,114.174297,1,1
19,点,1224,1123,4850193013,Life Time Watch Co. Ltd., , , , , , , ,"addr:street=>""堪富利士道 Humphreys Avenue"",""shop""=>""jewelry""",22.298395,114.173553,1,1
20,点,1226,612,4066472136, , , , , , , , ,"amenity=>""bureau_de_change""",22.2984,114.173595,1,1
21,点,1227,1122,4850193012,Kong Fung RMB Exchange, , , , , , , ,"amenity=>""bureau_de_change""",22.2984,114.173572,1,1
22,点,1228,1283,4850676197,麦当劳 McDonald's, , , , , , , ,"addr:street=>""宝勒巷 Prat Avenue"",""amenity""=>""fast_food"",""brand""=>""麦当劳 McDonald's"",""brand:en""=>""McDonald's"",""brand:wikidata""=>""Q38076"",""brand:wikipedia""=>""zh:麦当劳"",""brand:zh""=>""麦当劳"",""brand:zh-Hans""=>""麦当劳"",""brand:zh-Hant""=>""麦",22.298402,114.174233,1,1
23,点,1229,2331,11049570681,九龙公园 Kowloon Park, ,bus_stop, , , , , ,"minibus=>""yes"",""name:en""=>""Kowloon Park"",""name:zh""=>""九龙公园"",""network""=>""GMB"",""network:wikidata""=>""Q4389972"",""public_transport""=>""platform"",""route_ref""=>""606S""",22.298403,114.172016,1,1
24,点,1230,1084,4850136914,蒲仙味卤面, , , , , , , ,"addr:street=>""堪富利士道 Humphreys Avenue"",""amenity""=>""restaurant""",22.298404,114.173061,1,1
25,点,1231,532,3336248140,Voi_la!, , , , , , , ,"operator=>""华润万家 Vanguard"",""shop""=>""wine""",22.298407,114.17319,1,1
26,点,1233,1126,4850193016,International Photo, , , , , , , ,"addr:street=>""加拿分道 Carnarvon Road"",""shop""=>""photo""",22.298411,114.173624,1,1
27,点,1234,2109,9960795004, ,gate, , , , , , , ,22.298421,114.171771,1,1
28,点,1235,1087,4850136918,洪记粥品 Hungkee Congee, , , , , , , ,"addr:street=>""堪富利士道 Humphreys Avenue"",""amenity""=>""restaurant"",""name:en""=>""Hungkee Congee"",""name:zh""=>""洪记粥品""",22.298421,114.17312,1,1
29,点,1239,1284,4850676198,绿冰室 Ice Restaurant, , , , , , , ,"addr:street=>""宝勒巷 Prat Avenue"",""amenity""=>""restaurant"",""name:en""=>""Ice Restaurant"",""name:zh""=>""绿冰室""",22.298456,114.174433,1,1
