OBJECTID *,Shape *,FID_points,FID_points,osm_id,name,barrier,highway,ref,address,is_in,place,man_made,other_tags,lat,lon,FID_points_divided_MinimumBoundi1,FID_DatasetlSVISam_MinimumBoundi
33,点,491,1486,5358797021,Jollibee, , , , , , , ,"addr:street=>""北京道 Peking Road"",""amenity""=>""fast_food"",""branch""=>""Peking Road"",""brand""=>""Jollibee"",""brand:wikidata""=>""Q37614"",""brand:wikipedia""=>""en:Jollibee"",""cuisine""=>""burger"",""name:en""=>""Jollibee"",""name:zh""=>""快樂蜂"",""takeaway""=>""yes""",22.296306,114.171492,1,1
34,点,496,1064,4849961233,佐丹奴 Giordano, , , , , , , ,"addr:street=>""北京道 Peking Road"",""brand""=>""佐丹奴 Giordano"",""brand:en""=>""Giordano"",""brand:wikidata""=>""Q4115012"",""brand:zh""=>""佐丹奴"",""name:en""=>""Giordano"",""name:zh""=>""佐丹奴"",""shop""=>""clothes""",22.296314,114.171559,1,1
35,点,497,2434,11250049610, , , , , , , , ,"addr:housenumber=>""53-63"",""addr:street""=>""北京道 Peking Road""",22.296315,114.171389,1,1
36,点,499,1062,4849905361,龍豐 Lung Fung, , , , , , , ,"addr:street=>""北京道 Peking Road"",""name:en""=>""Lung Fung"",""name:zh""=>""龍豐"",""shop""=>""chemist""",22.296319,114.171608,1,1
37,点,503,1755,6705233421, , ,traffic_signals,K288, , , , , ,22.296326,114.171187,1,1
38,点,504,621,4071568089,百佳 PARKnSHOP, , , , , , , ,"brand=>""百佳超級市場 PARKnSHOP"",""brand:en""=>""PARKnSHOP"",""brand:wikidata""=>""Q7138619"",""brand:wikipedia""=>""zh:百佳超級市場"",""brand:zh""=>""百佳超級市場"",""brand:zh-Hans""=>""百佳超級市場"",""brand:zh-Hant""=>""百佳超级市场"",""level""=>",22.296326,114.171667,1,1
39,点,505,48,1106515969,Delaney's Irish Pub, , , , , , , ,"addr:housenumber=>""71-77"",""addr:street""=>""北京道 Peking Road"",""amenity""=>""pub"",""internet_access""=>""wlan"",""level""=>""-1"",""name:en""=>""Delaney's Irish Pub"",""name:ru""=>""Гинес ничего!"",""wheelchair""=>""limited""",22.29633,114.171693,1,1
40,点,506,504,2938367963,Rhine Guest House, , , , , , , ,"addr:door=>""13A1"",""addr:floor""=>""13/F"",""addr:housenumber""=>""36-44"",""addr:street""=>""彌敦道 Nathan Road"",""addr:unit""=>""A"",""level""=>""13"",""tourism""=>""guest_house""",22.296332,114.172456,1,1
41,点,508,800,4754443230,Vans, , , , , , , ,"brand=>""Vans"",""brand:wikidata""=>""Q1135366"",""name:en""=>""Vans"",""shop""=>""shoes""",22.296334,114.172533,1,1
42,点,509,1063,4849905362,bossini, , , , , , , ,"addr:street=>""北京道 Peking Road"",""brand""=>""bossini"",""brand:en""=>""bossini"",""brand:wikidata""=>""Q4035334"",""brand:zh""=>""堡獅龍"",""name:en""=>""bossini"",""name:zh""=>""堡獅龍"",""shop""=>""clothes""",22.296335,114.171739,1,1
43,点,510,1623,6359877743, , ,traffic_signals, , , , , ,"crossing=>""no"",""traffic_signals""=>""signal""",22.296337,114.170281,1,1
