name,lat,lon,alt,rot,date
688,22.29654328,114.1705832,8.134737015,188.2801514,2023
694,22.29643797,114.1716224,6.732264519,276.0301514,2023
695,22.29682705,114.17015,9.467552185,17.98919678,2023
696,22.29686347,114.1699334,8.812233925,7.819610596,2021
701,22.2971843,114.1705336,10.25046825,6.496429443,2023
704,22.29704124,114.1698882,8.286879539,13.73190308,2021
706,22.29641017,114.1713611,6.984276295,276.0475464,2023
711,22.29658075,114.1703097,7.478518486,9.272460938,2021
712,22.29709003,114.1715735,8.118390083,4.300140381,2023
714,22.29649617,114.1702666,8.215349197,18.1577301,2023
716,22.29649309,114.1722059,6.748862267,177.3237417,2022
717,22.29686718,114.1711401,8.016096115,184.1213989,2023
719,22.29677587,114.1721887,7.017089367,187.56427,2022
721,22.29659557,114.1716182,7.327039719,10.65670776,2023
722,22.29717128,114.1715669,8.241019249,3.999465942,2023
724,22.29696019,114.1721636,7.307978153,185.4721069,2022
732,22.29737642,114.1711032,9.469964027,184.0119019,2023
733,22.29664473,114.1725028,6.116709709,104.4552689,2021
734,22.2964698,114.1714063,6.098979473,190.8840332,2021
737,22.29696689,114.1724139,7.323369503,92.23119354,2023
738,22.29677905,114.171146,7.806128025,183.3136902,2023
742,22.29729376,114.169808,6.310431004,17.20262146,2021
743,22.29736511,114.1698686,11.79211044,197.9328918,2023
745,22.29751102,114.1715406,8.811588287,3.837188721,2022
746,22.29746256,114.1706456,11.73126793,186.1295166,2021
747,22.29656419,114.1714018,6.208326817,180.9075928,2021
748,22.29630149,114.1701656,7.850167751,192.5212708,2023
749,22.29629401,114.1706239,7.506821156,95.7519989,2023
753,22.29746271,114.171097,9.605875015,184.3617859,2023
758,22.29735608,114.170655,10.4287529,6.457565308,2021
759,22.29716414,114.1700324,10.80243015,18.24128723,2023
765,22.29684364,114.1713905,6.915152073,184.669281,2021
767,22.29657627,114.1702381,8.464910507,18.27281189,2023
769,22.29727477,114.1705231,10.54159355,6.109848022,2023
770,22.29725378,114.1722463,7.495823383,351.1313934,2023
775,22.29692791,114.1708378,7.566545486,10.9927063,2021
777,22.29658399,114.1722084,7.179100037,180.6893616,2022
778,22.29740444,114.1713425,8.815750122,182.5995483,2021
782,22.2972486,114.1700022,11.16815376,18.30126953,2023
783,22.2970242,114.1711266,8.428948402,183.7782898,2023
786,22.29668717,114.1711514,7.600904942,183.2430725,2023
787,22.29648125,114.1701235,8.331170082,192.7842712,2023
