name,lat,lon,alt,rot,date
1040,22.29844256,114.1719002,10.19825077,101.7274094,2021
1064,22.2983197,114.1730868,8.022946358,107.5466461,2023
1078,22.29844969,114.1735388,7.866440296,107.0129852,2023
1080,22.29866353,114.1731517,6.920436859,323.3725586,2021
1085,22.29843719,114.1718018,12.12876797,96.68699646,2021
1108,22.29837345,114.173272,7.934137344,107.4314575,2023
1112,22.29843982,114.1740651,7.93213129,106.0220413,2023
1116,22.29864233,114.1720379,10.59676456,184.144043,2023
1121,22.29839908,114.1721712,10.05812645,3.31968689,2023
1129,22.29867924,114.1749233,7.605461597,106.5361862,2023
1147,22.29869069,114.1723173,10.08564281,91.39572144,2023
1169,22.29870177,114.1721995,10.54396153,61.72006989,2023
1170,22.29882364,114.1720253,10.90214062,183.8525391,2023
1184,22.29846539,114.1737423,8.073658943,338.2645416,2023
1202,22.29854699,114.1744473,7.896692753,104.3765259,2023
1203,22.29842319,114.173874,7.933679104,75.76981354,2023
1221,22.29837595,114.1736863,8.015030861,317.4733582,2023
1224,22.29886524,114.173321,8.015370369,105.4751434,2023
1225,22.29833509,114.1740078,7.803888321,216.4589233,2023
1227,22.29859408,114.1746402,7.845994949,104.964325,2023
1230,22.29861856,114.1747362,7.768305779,106.0676117,2023
1238,22.298921,114.1735323,7.962291241,106.3152161,2023
1239,22.29845474,114.1725567,8.243471146,180.5429688,2021
1253,22.29875045,114.173943,6.808062077,102.481781,2021
1259,22.29836449,114.1720605,10.07591343,184.1319885,2023
1262,22.2988872,114.1749561,6.536343575,17.30963135,2021
1264,22.29872215,114.1738551,6.900806427,109.6772308,2021
1265,22.29892789,114.1747033,6.573772907,103.1469727,2021
1267,22.29870708,114.1732499,6.793659687,295.3141632,2021
1292,22.29880426,114.1749837,6.871499062,201.2629395,2021
1296,22.29870109,114.1725129,9.350549698,94.1105957,2023
1298,22.29849066,114.1721656,10.25539398,3.677429199,2023
1299,22.29890277,114.1737107,8.007565498,7.657669067,2023
1309,22.29846645,114.1741592,7.909841537,106.7095108,2023
1311,22.29845024,114.1737801,7.979553223,71.0634613,2023
1318,22.29909626,114.1723898,11.81492329,24.28962708,2021
1344,22.2987614,114.174048,6.928997517,107.7017136,2021
1348,22.29877521,114.173373,6.771880627,345.469635,2021
1350,22.298896,114.1734235,8.001623154,110.1403885,2023
1361,22.29857363,114.1745392,7.916801929,106.7725143,2023
1365,22.29864534,114.1748321,7.661442757,107.4050446,2023
1368,22.29856232,114.1725522,8.313100815,184.2107544,2021
1371,22.2989759,114.1749304,6.480573654,190.2652283,2021
1372,22.29871381,114.1726894,8.802556992,95.23479462,2023
1379,22.29895882,114.1718224,13.25845242,275.541748,2021
1381,22.29925192,114.1745762,7.305122375,286.3446655,2023
1383,22.29926224,114.1721103,11.68043041,4.00402832,2023
1386,22.29874229,114.1733311,6.81716156,306.1547241,2021
1389,22.29884086,114.1732271,8.080149651,105.7705917,2023
1396,22.29920748,114.1724833,10.98817921,304.3072815,2021
1399,22.29881336,114.1731244,8.148580551,106.2678909,2023
1402,22.29908067,114.1721229,11.33377934,3.490325928,2023
1406,22.29872306,114.1727901,8.530100822,100.820961,2023
1413,22.29850443,114.1743948,7.868276596,109.324646,2023
1414,22.29849187,114.1742519,7.921952248,106.374054,2023
1416,22.29847353,114.1736307,7.862898827,102.1210709,2023
1418,22.29911037,114.1740246,7.661067963,285.3870239,2023
1420,22.29877305,114.1729771,8.296040535,105.9956589,2023
1425,22.29905926,114.1738297,7.827198505,286.1571503,2023
1429,22.2989644,114.1719237,10.5808773,259.930481,2021
1434,22.29912237,114.1748957,6.292450905,200.0267334,2021
1435,22.29836148,114.1725682,8.095357895,188.5050964,2021
1437,22.29898364,114.172957,9.035017014,196.1255493,2023
1439,22.29873315,114.1720317,10.77249908,183.7672424,2023
